event_id,mag,depth,tsunami,maxmmi,economic_loss,population_mmi_5,economic_exposure_mmi_5,population_mmi_6,economic_exposure_mmi_6,population_mmi_7,economic_exposure_mmi_7,population_mmi_8,economic_exposure_mmi_8,population_mmi_9,economic_exposure_mmi_9,population_mmi_10,economic_exposure_mmi_10,has_economic_loss
us7000rfgy,5.8,10.0,0,6,11538322,17091,1268430468.1225736,10692,794885058.2893217,84,6244888.224495232,0,0.0,0,0.0,0,0.0,1
us7000rfg1,5.5,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rs3k,5.6,631.0,0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us7000renh,5.3,43.3,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us7000rena,5.8,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us7000rekp,5.9,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us7000rehl,5.8,148.0,0,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us7000rea0,5.6,263.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
ak2025xjbvhj,6.0,74.0,1,5,6,168688,133011457012.15532,1,788505.7444047907,0,0.0,0,0.0,0,0.0,0,0.0,1
us7000re2g,6.6,17.0,0,7,77917,45537,2743354591.0728474,40681,2450807214.340745,10820,651845678.7976418,0,0.0,0,0.0,0,0.0,1
us7000rdmx,5.4,80.1,0,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us7000rdmh,5.4,10.0,0,6,4366,37046,17953958829.888794,25992,12596752629.338377,139,67364905.18151872,0,0.0,0,0.0,0,0.0,1
us6000rq0u,5.4,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rq2y,5.4,3.0,0,4,0,784,7137342.850471117,74,673677.7690495696,1,9103.753635804995,0,0.0,0,0.0,0,0.0,0
us6000rq2x,5.5,3.0,0,5,0,1206,10979126.884780824,74,673677.7690495696,1,9103.753635804995,0,0.0,0,0.0,0,0.0,0
us6000rpxa,5.5,33.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rpwf,5.4,10.0,0,5,2,7670,462075448.83344835,384,23133894.700396895,0,0.0,0,0.0,0,0.0,0,0.0,1
us6000rpql,5.6,12.0,0,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rpjb,5.6,516.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rpja,5.5,11.0,0,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rpht,5.4,27.0,0,6,20244653,20663192,417139225058.6876,5291775,106827973271.74509,0,0.0,0,0.0,0,0.0,0,0.0,1
us6000rpc0,5.4,126.9,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rpai,5.8,130.9,0,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rpa3,5.4,136.9,0,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rp1a,5.4,10.0,0,4,0,2,316362.8738281716,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rnxp,5.3,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
